Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name,matched_ward,name,latitude,longitude,flood_count,flood_reported,Zone,primary_drain_km,secondary_drain_km,tertiary_drain_km,total_drain_km,drainage_index
20771632,Storm  Water Drain(SWD),Sewerage water left in SWD,17:00.0,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,,,,,,,Rajarajeshwari Nagar,1.319740177,7.268656015,11.16137878,19.74977497,0.251281629
20771524,Storm  Water Drain(SWD),Sewerage water left in SWD,36:00.0,Ramamurthy Nagar,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,,,,,,,Bommanahalli,2.223636231,6.516852297,16.08172035,24.82220888,0.422052548
20771467,Storm  Water Drain(SWD),Sewerage water left in SWD,51:00.0,Kodigehalli,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,,,,,,,Mahadevapura,3.704681915,6.737743013,9.393154785,19.83557971,0.254170371
20771414,Storm  Water Drain(SWD),Sewerage water left in SWD,07:00.0,Kuvempu Nagar,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,Kuvempu Nagar,"Ashok Nagar
,museum road",12.97077564,77.6047966,3,1,Rajarajeshwari Nagar,3.998391271,8.108561098,12.11609971,24.22305208,0.401881057
20770633,Storm  Water Drain(SWD),Sewerage water left in SWD,19:00.0,Arakere,Registered,1st Assignment Based on Ward Mapping,Naresh  Kumar/AE,Arakere,City Market Area,12.96526468,77.58413814,1,1,South,5.025002423,4.561807225,19.60237846,29.18918811,0.569073302
20770297,Storm  Water Drain(SWD),Sewerage water left in SWD,37:00.0,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,,,,,,,Yelahanka,2.676492685,6.019495555,14.77573936,23.4717276,0.376586617
20770145,Storm  Water Drain(SWD),Sewerage water left in SWD,29:00.0,HBR Layout,Registered,1st Assignment Based on Ward Mapping,Samatha/AE,HBR Layout,Gubbanna Layout,12.97920853,77.55564567,5,1,Mahadevapura,4.39115273,8.493447101,8.37221775,21.25681758,0.302018426
20770145,Storm  Water Drain(SWD),Sewerage water left in SWD,29:00.0,HBR Layout,Registered,1st Assignment Based on Ward Mapping,Samatha/AE,HBR Layout,RPC layout,12.96278178,77.53789808,5,1,Mahadevapura,2.396446167,9.766447864,5.890369301,18.05326333,0.194166079
20769541,Storm  Water Drain(SWD),Sewerage water left in SWD,49:00.0,Kengeri,Registered,1st Assignment Based on Ward Mapping,Aveesh/AE,Kengeri,Kengeri Yellamma temple,12.89891178,77.48273571,2,1,Rajarajeshwari Nagar,2.569058823,6.575903374,14.81459256,23.95955475,0.393010033
20769541,Storm  Water Drain(SWD),Sewerage water left in SWD,49:00.0,Kengeri,Registered,1st Assignment Based on Ward Mapping,Aveesh/AE,Kengeri,KR circle Underpass,12.97542914,77.58732304,2,1,West,5.831053588,9.289021367,7.525421986,22.64549694,0.348770352
20769528,Storm  Water Drain(SWD),Sewerage water left in SWD,43:00.0,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,,,,,,,South,5.013127785,5.160962096,19.43943917,29.61352905,0.583359361
20769294,Storm  Water Drain(SWD),Sewerage water left in SWD,03:00.0,Marenahalli,Registered,Drainage problem,Arun Prasad/AE,Marenahalli,Arekempannahalli Area,12.94626543,77.59310661,1,1,Rajarajeshwari Nagar,4.611971301,6.158180384,11.04475533,21.81490702,0.320807325
20769294,Storm  Water Drain(SWD),Sewerage water left in SWD,03:00.0,Marenahalli,Registered,Drainage problem,Arun Prasad/AE,Marenahalli,Marehahalli Tank,12.91530143,77.58843625,1,1,South,5.053825751,8.777246765,20.36952824,34.20060076,0.737789851
20769294,Storm  Water Drain(SWD),Sewerage water left in SWD,03:00.0,Marenahalli,Registered,Drainage problem,Arun Prasad/AE,Marenahalli,K R Garden,12.95401524,77.65615602,1,1,South,4.598373877,6.310999281,18.34241776,29.25179091,0.571180917
20769235,Storm  Water Drain(SWD),Sewerage water left in SWD,44:00.0,Someshwara,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,,,,,,,Yelahanka,2.049638886,6.153945848,19.9719039,28.17548864,0.534945624
20768862,Storm  Water Drain(SWD),Sewerage water left in SWD,43:00.0,Bilekahalli,Registered,1st Assignment Based on Ward Mapping,Naresh  Kumar/AE,,,,,,,Mahadevapura,2.944406373,6.140989142,9.773470604,18.85886612,0.221287877
20768727,Storm  Water Drain(SWD),Sewerage water left in SWD,37:00.0,Dharmarayaswamy Temple Ward,Registered,Forwarded Task,Ranjitha G/AE,,,,,,,Bommanahalli,2.693410655,3.900533983,15.78165068,22.37559532,0.339683718
20767575,Storm  Water Drain(SWD),Sewerage water left in SWD,49:00.0,Hemmigepura,Registered,Forwarded Task,Aveesh/AE,,,,,,,Yelahanka,2.771150288,6.576633325,11.86626043,21.21404404,0.300578393
20767482,Storm  Water Drain(SWD),Sewerage water left in SWD,20:00.0,Subhash Nagar,Registered,Forwarded Task,Arun Prasad/AE,,,,,,,Yelahanka,6.270450663,5.691584056,12.92630844,24.88834315,0.424279055
20767321,Storm  Water Drain(SWD),Sewerage water left in SWD,18:00.0,Kottigepalya,Registered,1st Assignment Based on Ward Mapping,Aveesh/AE,,,,,,,South,3.704798396,7.033727494,15.86745394,26.60597983,0.482105811
20766818,Storm  Water Drain(SWD),Sewerage water left in SWD,48:00.0,Herohalli,Registered,1st Assignment Based on Ward Mapping,Aveesh/AE,Herohalli,DJ Halli,13.00926754,77.61028815,2,1,Dasarahalli,4.411367599,3.718572791,13.71150656,21.84144695,0.321700831
